"Series";"Time";"Value"
"Average sig_qual";"2019-05-07T20:00:00-04:00";82.534
"Average sig_qual";"2019-05-08T20:00:00-04:00";87.816
"Average sig_qual";"2019-05-09T20:00:00-04:00";84.27
"Average sig_qual";"2019-05-10T20:00:00-04:00";90.346
"Average sig_qual";"2019-05-11T20:00:00-04:00";92.532
"Average sig_qual";"2019-05-12T20:00:00-04:00";86.449
"Average sig_qual";"2019-05-13T20:00:00-04:00";93.998
"Average sig_qual";"2019-05-14T20:00:00-04:00";89.286
"Average sig_qual";"2019-05-15T20:00:00-04:00";92.549
"Average sig_qual";"2019-05-16T20:00:00-04:00";89.164
"Average sig_qual";"2019-05-17T20:00:00-04:00";90.936
"Average sig_qual";"2019-05-18T20:00:00-04:00";93.384
"Average sig_qual";"2019-05-19T20:00:00-04:00";89.013
"Average sig_qual";"2019-05-20T20:00:00-04:00";87.615
"Average sig_qual";"2019-05-21T20:00:00-04:00";86.629
"Average sig_qual";"2019-05-22T20:00:00-04:00";81.532
"Average sig_qual";"2019-05-23T20:00:00-04:00";80.626
"Average sig_qual";"2019-05-24T20:00:00-04:00";87.094
"Average sig_qual";"2019-05-25T20:00:00-04:00";86.925
"Average sig_qual";"2019-05-26T20:00:00-04:00";86.417
"Average sig_qual";"2019-05-27T20:00:00-04:00";87.317
"Average sig_qual";"2019-05-28T20:00:00-04:00";85.109
"Average sig_qual";"2019-05-29T20:00:00-04:00";84.644
"Average sig_qual";"2019-05-30T20:00:00-04:00";85.227
"Average sig_qual";"2019-05-31T20:00:00-04:00";85.569
"Average sig_qual";"2019-06-01T20:00:00-04:00";85.086
"Average sig_qual";"2019-06-02T20:00:00-04:00";80.861
"Average sig_qual";"2019-06-03T20:00:00-04:00";87.34
"Average sig_qual";"2019-06-04T20:00:00-04:00";84.848
"Average sig_qual";"2019-06-05T20:00:00-04:00";80.074
"Average sig_qual";"2019-06-06T20:00:00-04:00";82.989
"Average sig_qual";"2019-06-07T20:00:00-04:00";83.408
"Average sig_qual";"2019-06-08T20:00:00-04:00";81.545
"Average sig_qual";"2019-06-09T20:00:00-04:00";80.66
"Average sig_qual";"2019-06-10T20:00:00-04:00";75.696
"Average sig_qual";"2019-06-11T20:00:00-04:00";80.374
"Average sig_qual";"2019-06-12T20:00:00-04:00";85.621
"Average sig_qual";"2019-06-13T20:00:00-04:00";81.87
"Average sig_qual";"2019-06-14T20:00:00-04:00";82.639
"Average sig_qual";"2019-06-15T20:00:00-04:00";81.581
"Average sig_qual";"2019-06-16T20:00:00-04:00";78.389
"Average sig_qual";"2019-06-17T20:00:00-04:00";78.691
"Average sig_qual";"2019-06-18T20:00:00-04:00";76.041
"Average sig_qual";"2019-06-19T20:00:00-04:00";77.449
"Average sig_qual";"2019-06-20T20:00:00-04:00";80.275
"Average sig_qual";"2019-06-21T20:00:00-04:00";85.553
"Average sig_qual";"2019-06-22T20:00:00-04:00";86.209
"Average sig_qual";"2019-06-23T20:00:00-04:00";86.757
"Average sig_qual";"2019-06-24T20:00:00-04:00";86.685
"Average sig_qual";"2019-06-25T20:00:00-04:00";86.384
"Average sig_qual";"2019-06-26T20:00:00-04:00";83.461
"Average sig_qual";"2019-06-27T20:00:00-04:00";77.889
"Average sig_qual";"2019-06-28T20:00:00-04:00";78.098
"Average sig_qual";"2019-06-29T20:00:00-04:00";77.889
"Average sig_qual";"2019-06-30T20:00:00-04:00";74.535
"Average sig_qual";"2019-07-01T20:00:00-04:00";79.417
"Average sig_qual";"2019-07-02T20:00:00-04:00";84.522
"Average sig_qual";"2019-07-03T20:00:00-04:00";84.408
"Average sig_qual";"2019-07-04T20:00:00-04:00";85.961
"Average sig_qual";"2019-07-05T20:00:00-04:00";84.527
"Average sig_qual";"2019-07-06T20:00:00-04:00";82.745
"Average sig_qual";"2019-07-07T20:00:00-04:00";77.129
"Average sig_qual";"2019-07-08T20:00:00-04:00";83.528
"Average sig_qual";"2019-07-09T20:00:00-04:00";80.589
"Average sig_qual";"2019-07-10T20:00:00-04:00";78.747
"Average sig_qual";"2019-07-11T20:00:00-04:00";75.763
"Average sig_qual";"2019-07-12T20:00:00-04:00";77.974
"Average sig_qual";"2019-07-13T20:00:00-04:00";78.477
"Average sig_qual";"2019-07-14T20:00:00-04:00";77.36
"Average sig_qual";"2019-07-15T20:00:00-04:00";77.135
"Average sig_qual";"2019-07-16T20:00:00-04:00";77.835
"Average sig_qual";"2019-07-17T20:00:00-04:00";73.199
"Average sig_qual";"2019-07-18T20:00:00-04:00";75.684
"Average sig_qual";"2019-07-19T20:00:00-04:00";75.804
"Average sig_qual";"2019-07-20T20:00:00-04:00";76.061
"Average sig_qual";"2019-07-21T20:00:00-04:00";79.781
"Average sig_qual";"2019-07-22T20:00:00-04:00";76.727
"Average sig_qual";"2019-07-23T20:00:00-04:00";76.803
"Average sig_qual";"2019-07-24T20:00:00-04:00";78.455
"Average sig_qual";"2019-07-25T20:00:00-04:00";76.594
"Average sig_qual";"2019-07-26T20:00:00-04:00";76.47
"Average sig_qual";"2019-07-27T20:00:00-04:00";73.838
"Average sig_qual";"2019-07-28T20:00:00-04:00";76.055
"Average sig_qual";"2019-07-29T20:00:00-04:00";77.809
"Average sig_qual";"2019-07-30T20:00:00-04:00";76.707
"Average sig_qual";"2019-07-31T20:00:00-04:00";77.238
"Average sig_qual";"2019-08-01T20:00:00-04:00";74.421
"Average sig_qual";"2019-08-02T20:00:00-04:00";84.813
