"Series";"Time";"Value"
"Average sig_qual";"2019-05-07T20:00:00-04:00";82.977
"Average sig_qual";"2019-05-08T20:00:00-04:00";84.285
"Average sig_qual";"2019-05-09T20:00:00-04:00";84.299
"Average sig_qual";"2019-05-10T20:00:00-04:00";83.226
"Average sig_qual";"2019-05-11T20:00:00-04:00";83.448
"Average sig_qual";"2019-05-12T20:00:00-04:00";82.284
"Average sig_qual";"2019-05-13T20:00:00-04:00";84.368
"Average sig_qual";"2019-05-14T20:00:00-04:00";84.425
"Average sig_qual";"2019-05-15T20:00:00-04:00";82.217
"Average sig_qual";"2019-05-16T20:00:00-04:00";83.753
"Average sig_qual";"2019-05-17T20:00:00-04:00";84.894
"Average sig_qual";"2019-05-18T20:00:00-04:00";89.495
"Average sig_qual";"2019-05-19T20:00:00-04:00";85.806
"Average sig_qual";"2019-05-20T20:00:00-04:00";87.319
"Average sig_qual";"2019-05-21T20:00:00-04:00";82.962
"Average sig_qual";"2019-05-22T20:00:00-04:00";84.867
"Average sig_qual";"2019-05-23T20:00:00-04:00";85.68
"Average sig_qual";"2019-05-24T20:00:00-04:00";86.338
"Average sig_qual";"2019-05-25T20:00:00-04:00";87.082
"Average sig_qual";"2019-05-26T20:00:00-04:00";88.899
"Average sig_qual";"2019-05-27T20:00:00-04:00";87.854
"Average sig_qual";"2019-05-28T20:00:00-04:00";86.548
"Average sig_qual";"2019-05-29T20:00:00-04:00";87.204
"Average sig_qual";"2019-05-30T20:00:00-04:00";84.907
"Average sig_qual";"2019-05-31T20:00:00-04:00";86.765
"Average sig_qual";"2019-06-01T20:00:00-04:00";85.732
"Average sig_qual";"2019-06-02T20:00:00-04:00";83.335
"Average sig_qual";"2019-06-03T20:00:00-04:00";83.309
"Average sig_qual";"2019-06-04T20:00:00-04:00";83.115
"Average sig_qual";"2019-06-05T20:00:00-04:00";84.513
"Average sig_qual";"2019-06-06T20:00:00-04:00";85.683
"Average sig_qual";"2019-06-07T20:00:00-04:00";83.799
"Average sig_qual";"2019-06-08T20:00:00-04:00";84.471
"Average sig_qual";"2019-06-09T20:00:00-04:00";84.893
"Average sig_qual";"2019-06-10T20:00:00-04:00";86.949
"Average sig_qual";"2019-06-11T20:00:00-04:00";88.95
"Average sig_qual";"2019-06-12T20:00:00-04:00";89.334
"Average sig_qual";"2019-06-13T20:00:00-04:00";83.823
"Average sig_qual";"2019-06-14T20:00:00-04:00";87.234
"Average sig_qual";"2019-06-15T20:00:00-04:00";89.021
"Average sig_qual";"2019-06-16T20:00:00-04:00";80.439
"Average sig_qual";"2019-06-17T20:00:00-04:00";82.717
