"Series";"Time";"Value"
"Average sig_qual";"2019-05-07T20:00:00-04:00";null
"Average sig_qual";"2019-05-08T20:00:00-04:00";null
"Average sig_qual";"2019-05-09T20:00:00-04:00";85.154
"Average sig_qual";"2019-05-10T20:00:00-04:00";86.813
"Average sig_qual";"2019-05-11T20:00:00-04:00";84.995
"Average sig_qual";"2019-05-12T20:00:00-04:00";85.357
"Average sig_qual";"2019-05-13T20:00:00-04:00";88.745
"Average sig_qual";"2019-05-14T20:00:00-04:00";87.571
"Average sig_qual";"2019-05-15T20:00:00-04:00";83.927
"Average sig_qual";"2019-05-16T20:00:00-04:00";84.074
"Average sig_qual";"2019-05-17T20:00:00-04:00";88.945
"Average sig_qual";"2019-05-18T20:00:00-04:00";92.232
"Average sig_qual";"2019-05-19T20:00:00-04:00";91.134
"Average sig_qual";"2019-05-20T20:00:00-04:00";90.649
"Average sig_qual";"2019-05-21T20:00:00-04:00";87.402
"Average sig_qual";"2019-05-22T20:00:00-04:00";null
"Average sig_qual";"2019-05-23T20:00:00-04:00";92.563
"Average sig_qual";"2019-05-24T20:00:00-04:00";93.487
"Average sig_qual";"2019-05-25T20:00:00-04:00";93.097
"Average sig_qual";"2019-05-26T20:00:00-04:00";82.138
"Average sig_qual";"2019-05-27T20:00:00-04:00";71.25
"Average sig_qual";"2019-05-28T20:00:00-04:00";72.334
"Average sig_qual";"2019-05-29T20:00:00-04:00";93.319
"Average sig_qual";"2019-05-30T20:00:00-04:00";93.689
"Average sig_qual";"2019-05-31T20:00:00-04:00";94.446
"Average sig_qual";"2019-06-01T20:00:00-04:00";94.056
"Average sig_qual";"2019-06-02T20:00:00-04:00";93.396
"Average sig_qual";"2019-06-03T20:00:00-04:00";92.936
"Average sig_qual";"2019-06-04T20:00:00-04:00";89.903
"Average sig_qual";"2019-06-05T20:00:00-04:00";89.083
"Average sig_qual";"2019-06-06T20:00:00-04:00";88.259
"Average sig_qual";"2019-06-07T20:00:00-04:00";88.873
"Average sig_qual";"2019-06-08T20:00:00-04:00";null
"Average sig_qual";"2019-06-09T20:00:00-04:00";95.323
"Average sig_qual";"2019-06-10T20:00:00-04:00";90.764
"Average sig_qual";"2019-06-11T20:00:00-04:00";87.406
"Average sig_qual";"2019-06-12T20:00:00-04:00";88.623
"Average sig_qual";"2019-06-13T20:00:00-04:00";89.827
"Average sig_qual";"2019-06-14T20:00:00-04:00";87.825
"Average sig_qual";"2019-06-15T20:00:00-04:00";89.106
"Average sig_qual";"2019-06-16T20:00:00-04:00";88.265
"Average sig_qual";"2019-06-17T20:00:00-04:00";87.763
"Average sig_qual";"2019-06-18T20:00:00-04:00";92.001
"Average sig_qual";"2019-06-19T20:00:00-04:00";90.619
"Average sig_qual";"2019-06-20T20:00:00-04:00";88.509
"Average sig_qual";"2019-06-21T20:00:00-04:00";87.226
"Average sig_qual";"2019-06-22T20:00:00-04:00";86.804
"Average sig_qual";"2019-06-23T20:00:00-04:00";87.077
"Average sig_qual";"2019-06-24T20:00:00-04:00";86.709
"Average sig_qual";"2019-06-25T20:00:00-04:00";86.206
"Average sig_qual";"2019-06-26T20:00:00-04:00";null
"Average sig_qual";"2019-06-27T20:00:00-04:00";89.25
"Average sig_qual";"2019-06-28T20:00:00-04:00";82.219
"Average sig_qual";"2019-06-29T20:00:00-04:00";83.041
"Average sig_qual";"2019-06-30T20:00:00-04:00";82.055
"Average sig_qual";"2019-07-01T20:00:00-04:00";81.432
"Average sig_qual";"2019-07-02T20:00:00-04:00";81.384
"Average sig_qual";"2019-07-03T20:00:00-04:00";79.526
"Average sig_qual";"2019-07-04T20:00:00-04:00";81.197
"Average sig_qual";"2019-07-05T20:00:00-04:00";81.146
"Average sig_qual";"2019-07-06T20:00:00-04:00";81.536
"Average sig_qual";"2019-07-07T20:00:00-04:00";81.073
"Average sig_qual";"2019-07-08T20:00:00-04:00";81.118
"Average sig_qual";"2019-07-09T20:00:00-04:00";81.726
"Average sig_qual";"2019-07-10T20:00:00-04:00";83.179
"Average sig_qual";"2019-07-11T20:00:00-04:00";80.71
"Average sig_qual";"2019-07-12T20:00:00-04:00";81.675
"Average sig_qual";"2019-07-13T20:00:00-04:00";82.072
"Average sig_qual";"2019-07-14T20:00:00-04:00";82.248
"Average sig_qual";"2019-07-15T20:00:00-04:00";81.25
"Average sig_qual";"2019-07-16T20:00:00-04:00";81.326
"Average sig_qual";"2019-07-17T20:00:00-04:00";79.296
"Average sig_qual";"2019-07-18T20:00:00-04:00";81.541
"Average sig_qual";"2019-07-19T20:00:00-04:00";81.176
"Average sig_qual";"2019-07-20T20:00:00-04:00";80.851
"Average sig_qual";"2019-07-21T20:00:00-04:00";80.638
"Average sig_qual";"2019-07-22T20:00:00-04:00";81.197
"Average sig_qual";"2019-07-23T20:00:00-04:00";86.585
"Average sig_qual";"2019-07-24T20:00:00-04:00";85.77
"Average sig_qual";"2019-07-25T20:00:00-04:00";81.623
"Average sig_qual";"2019-07-26T20:00:00-04:00";81.496
"Average sig_qual";"2019-07-27T20:00:00-04:00";80.821
"Average sig_qual";"2019-07-28T20:00:00-04:00";80.395
"Average sig_qual";"2019-07-29T20:00:00-04:00";81.008
"Average sig_qual";"2019-07-30T20:00:00-04:00";80.863
"Average sig_qual";"2019-07-31T20:00:00-04:00";80.759
"Average sig_qual";"2019-08-01T20:00:00-04:00";81.697
"Average sig_qual";"2019-08-02T20:00:00-04:00";80.971
"Average sig_qual";"2019-08-03T20:00:00-04:00";74.954
"Average sig_qual";"2019-08-04T20:00:00-04:00";83.073
"Average sig_qual";"2019-08-05T20:00:00-04:00";83.426
"Average sig_qual";"2019-08-06T20:00:00-04:00";81.9
"Average sig_qual";"2019-08-07T20:00:00-04:00";79.32
"Average sig_qual";"2019-08-08T20:00:00-04:00";84.506
"Average sig_qual";"2019-08-09T20:00:00-04:00";84.453
"Average sig_qual";"2019-08-10T20:00:00-04:00";84.679
"Average sig_qual";"2019-08-11T20:00:00-04:00";85.09
"Average sig_qual";"2019-08-12T20:00:00-04:00";83.027
"Average sig_qual";"2019-08-13T20:00:00-04:00";81.85
"Average sig_qual";"2019-08-14T20:00:00-04:00";82.147
"Average sig_qual";"2019-08-15T20:00:00-04:00";82.638
"Average sig_qual";"2019-08-16T20:00:00-04:00";83.427
