"Series";"Time";"Value"
"Average sig_qual";"2019-05-07T20:00:00-04:00";95.104
"Average sig_qual";"2019-05-08T20:00:00-04:00";95.377
"Average sig_qual";"2019-05-09T20:00:00-04:00";95.134
"Average sig_qual";"2019-05-10T20:00:00-04:00";97.498
"Average sig_qual";"2019-05-11T20:00:00-04:00";92.515
"Average sig_qual";"2019-05-12T20:00:00-04:00";86.721
"Average sig_qual";"2019-05-13T20:00:00-04:00";90.507
"Average sig_qual";"2019-05-14T20:00:00-04:00";90.801
"Average sig_qual";"2019-05-15T20:00:00-04:00";89.898
"Average sig_qual";"2019-05-16T20:00:00-04:00";90.056
"Average sig_qual";"2019-05-17T20:00:00-04:00";91.827
"Average sig_qual";"2019-05-18T20:00:00-04:00";93.818
"Average sig_qual";"2019-05-19T20:00:00-04:00";94.338
"Average sig_qual";"2019-05-20T20:00:00-04:00";91.758
"Average sig_qual";"2019-05-21T20:00:00-04:00";90.22
"Average sig_qual";"2019-05-22T20:00:00-04:00";93.825
"Average sig_qual";"2019-05-23T20:00:00-04:00";94.588
"Average sig_qual";"2019-05-24T20:00:00-04:00";90.945
"Average sig_qual";"2019-05-25T20:00:00-04:00";89.071
"Average sig_qual";"2019-05-26T20:00:00-04:00";89.502
"Average sig_qual";"2019-05-27T20:00:00-04:00";90.872
"Average sig_qual";"2019-05-28T20:00:00-04:00";80.295
"Average sig_qual";"2019-05-29T20:00:00-04:00";86.238
"Average sig_qual";"2019-05-30T20:00:00-04:00";90.034
"Average sig_qual";"2019-05-31T20:00:00-04:00";85.882
"Average sig_qual";"2019-06-01T20:00:00-04:00";85.779
"Average sig_qual";"2019-06-02T20:00:00-04:00";90.283
"Average sig_qual";"2019-06-03T20:00:00-04:00";82.934
"Average sig_qual";"2019-06-04T20:00:00-04:00";88.916
"Average sig_qual";"2019-06-05T20:00:00-04:00";90.007
"Average sig_qual";"2019-06-06T20:00:00-04:00";90.62
"Average sig_qual";"2019-06-07T20:00:00-04:00";91.374
"Average sig_qual";"2019-06-08T20:00:00-04:00";94.759
"Average sig_qual";"2019-06-09T20:00:00-04:00";96.938
"Average sig_qual";"2019-06-10T20:00:00-04:00";90.441
"Average sig_qual";"2019-06-11T20:00:00-04:00";91.485
"Average sig_qual";"2019-06-12T20:00:00-04:00";92.006
"Average sig_qual";"2019-06-13T20:00:00-04:00";94.214
"Average sig_qual";"2019-06-14T20:00:00-04:00";94.553
"Average sig_qual";"2019-06-15T20:00:00-04:00";94.326
"Average sig_qual";"2019-06-16T20:00:00-04:00";94.845
"Average sig_qual";"2019-06-17T20:00:00-04:00";95.308
"Average sig_qual";"2019-06-18T20:00:00-04:00";94.717
"Average sig_qual";"2019-06-19T20:00:00-04:00";94.243
"Average sig_qual";"2019-06-20T20:00:00-04:00";94.866
"Average sig_qual";"2019-06-21T20:00:00-04:00";92.689
"Average sig_qual";"2019-06-22T20:00:00-04:00";92.438
"Average sig_qual";"2019-06-23T20:00:00-04:00";86.609
"Average sig_qual";"2019-06-24T20:00:00-04:00";90.826
"Average sig_qual";"2019-06-25T20:00:00-04:00";92.873
"Average sig_qual";"2019-06-26T20:00:00-04:00";91.481
"Average sig_qual";"2019-06-27T20:00:00-04:00";94.723
"Average sig_qual";"2019-06-28T20:00:00-04:00";94.204
"Average sig_qual";"2019-06-29T20:00:00-04:00";93.755
"Average sig_qual";"2019-06-30T20:00:00-04:00";85.837
"Average sig_qual";"2019-07-01T20:00:00-04:00";78.22
"Average sig_qual";"2019-07-02T20:00:00-04:00";82.81
"Average sig_qual";"2019-07-03T20:00:00-04:00";83.276
"Average sig_qual";"2019-07-04T20:00:00-04:00";81.633
"Average sig_qual";"2019-07-05T20:00:00-04:00";79.748
"Average sig_qual";"2019-07-06T20:00:00-04:00";84.308
"Average sig_qual";"2019-07-07T20:00:00-04:00";82.61
"Average sig_qual";"2019-07-08T20:00:00-04:00";81.86
"Average sig_qual";"2019-07-09T20:00:00-04:00";82.114
"Average sig_qual";"2019-07-10T20:00:00-04:00";82.791
"Average sig_qual";"2019-07-11T20:00:00-04:00";83.129
"Average sig_qual";"2019-07-12T20:00:00-04:00";85.309
"Average sig_qual";"2019-07-13T20:00:00-04:00";85.575
"Average sig_qual";"2019-07-14T20:00:00-04:00";83.349
"Average sig_qual";"2019-07-15T20:00:00-04:00";78.468
"Average sig_qual";"2019-07-16T20:00:00-04:00";82.888
"Average sig_qual";"2019-07-17T20:00:00-04:00";82.964
"Average sig_qual";"2019-07-18T20:00:00-04:00";88.804
"Average sig_qual";"2019-07-19T20:00:00-04:00";97.357
"Average sig_qual";"2019-07-20T20:00:00-04:00";92.625
"Average sig_qual";"2019-07-21T20:00:00-04:00";91.164
"Average sig_qual";"2019-07-22T20:00:00-04:00";85.306
"Average sig_qual";"2019-07-23T20:00:00-04:00";82.179
"Average sig_qual";"2019-07-24T20:00:00-04:00";86.48
"Average sig_qual";"2019-07-25T20:00:00-04:00";90.096
"Average sig_qual";"2019-07-26T20:00:00-04:00";93.728
"Average sig_qual";"2019-07-27T20:00:00-04:00";93.924
"Average sig_qual";"2019-07-28T20:00:00-04:00";86.786
"Average sig_qual";"2019-07-29T20:00:00-04:00";92.26
"Average sig_qual";"2019-07-30T20:00:00-04:00";98.601
"Average sig_qual";"2019-07-31T20:00:00-04:00";84.63
"Average sig_qual";"2019-08-01T20:00:00-04:00";86.544
"Average sig_qual";"2019-08-02T20:00:00-04:00";92.885
"Average sig_qual";"2019-08-03T20:00:00-04:00";94.186
"Average sig_qual";"2019-08-04T20:00:00-04:00";92.451
"Average sig_qual";"2019-08-05T20:00:00-04:00";88.761
"Average sig_qual";"2019-08-06T20:00:00-04:00";91.138
"Average sig_qual";"2019-08-07T20:00:00-04:00";91.566
"Average sig_qual";"2019-08-08T20:00:00-04:00";86.055
"Average sig_qual";"2019-08-09T20:00:00-04:00";84.345
"Average sig_qual";"2019-08-10T20:00:00-04:00";83.772
"Average sig_qual";"2019-08-11T20:00:00-04:00";84.685
"Average sig_qual";"2019-08-12T20:00:00-04:00";91.525
"Average sig_qual";"2019-08-13T20:00:00-04:00";92.955
"Average sig_qual";"2019-08-14T20:00:00-04:00";93.125
"Average sig_qual";"2019-08-15T20:00:00-04:00";91.641
"Average sig_qual";"2019-08-16T20:00:00-04:00";90.478
"Average sig_qual";"2019-08-17T20:00:00-04:00";79.082
"Average sig_qual";"2019-08-18T20:00:00-04:00";82.275
"Average sig_qual";"2019-08-19T20:00:00-04:00";84.266
"Average sig_qual";"2019-08-20T20:00:00-04:00";85.534
"Average sig_qual";"2019-08-21T20:00:00-04:00";88.216
"Average sig_qual";"2019-08-22T20:00:00-04:00";82.978
"Average sig_qual";"2019-08-23T20:00:00-04:00";80.784
"Average sig_qual";"2019-08-24T20:00:00-04:00";80.341
"Average sig_qual";"2019-08-25T20:00:00-04:00";84.088
"Average sig_qual";"2019-08-26T20:00:00-04:00";85.233
"Average sig_qual";"2019-08-27T20:00:00-04:00";86.018
"Average sig_qual";"2019-08-28T20:00:00-04:00";85.455
